Distance,Image_Path
0.97868955,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/hitmonlee.png
0.97876567,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/magmar.png
0.97933346,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/snivy.png
0.9794851,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/bisharp.png
0.98018163,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/camerupt.png
0.9805304,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/kecleon.png
0.98090523,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/espurr.png
0.9812281,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/budew.png
0.9817067,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/vulpix.png
0.9821527,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/tentacruel.png
0.9823539,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/mandibuzz.png
0.9823761,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/pachirisu.png
0.9824614,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/seel.png
0.98249525,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/lucario.png
0.98254645,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/cranidos.png
0.98296034,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/pupitar.png
0.98327863,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/miltank.png
0.98340267,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/primeape.png
0.9843767,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/accelgor.png
0.98437977,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/lopunny.png
0.9848449,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/krookodile.png
0.9854342,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/farfetchd.png
0.9856039,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/excadrill.png
0.9857767,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/duosion.png
0.98608166,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/pumpkaboo-average.png
0.98635775,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/nuzleaf.png
0.9867105,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/clamperl.png
0.98682034,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/alomomola.png
0.9871326,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/cyndaquil.png
0.9873979,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/rattata.png
0.98756933,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/bellsprout.png
0.987895,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/ledian.png
0.9882042,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/volcanion.png
0.9884516,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/wobbuffet.png
0.98862016,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/electivire.png
0.98924994,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/lilligant.png
0.98955274,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/dewott.png
0.9903353,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/lickitung.png
0.9913407,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/rampardos.png
0.9917063,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/exploud.png
0.9917667,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/aron.png
0.99211717,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/jigglypuff.png
0.9921748,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/chingling.png
0.99225116,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/goomy.png
0.99244004,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/sandile.png
0.9928382,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/tyrunt.png
0.99310964,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/cherubi.png
0.99333566,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/wailmer.png
0.9933511,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/medicham.png
0.9934534,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/mienfoo.png
0.9937763,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/stunky.png
0.99461806,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/altaria.png
0.9947398,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/mawile.png
0.9950688,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/combusken.png
0.99548393,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/sliggoo.png
0.9956393,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/tyrogue.png
0.9956655,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/quagsire.png
0.9959398,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/rhyhorn.png
0.9959689,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/roselia.png
0.9961257,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/spewpa.png
0.99643755,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/sunflora.png
0.99712485,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/raikou.png
0.99725455,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/eelektross.png
0.99748164,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/skiddo.png
0.9975241,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/skitty.png
0.9977206,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/noibat.png
0.9979205,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/zigzagoon.png
0.9980885,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/pangoro.png
0.9984114,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/lillipup.png
0.9986083,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/torkoal.png
0.99868983,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/typhlosion.png
0.99881876,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/shelgon.png
0.9991387,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/nosepass.png
0.99932224,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/stunfisk.png
0.9993609,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/poliwhirl.png
0.9994061,/Users/haribo/Desktop/Pokemon_ prediction/features/images/images/tornadus-incarnate.png
